bin,ERR315856,ERR315859,ERR315860,ERR318618,ERR318619,ERR318620,ERR318621,ERR594315,ERR594329,ERR594352,ERR594375,ERR594405,ERR594408,ERR599073,ERR599092,ERR599094,ERR599153
MED-621,152494.69811193176,29054.90192295518,27253.427695837614,320718.98522303463,21730.68227557931,324632.5391245468,23920.84860941343,21094.602094064503,127740.87090635054,20022.089346255234,39559.39920874162,53387.52767111674,2263.41598454897,50337.01565757451,265832.37142049085,48583.64631811651,8243.877420060106
MED-622,1467175.4678842856,60956.23685453059,54415.27640263921,938225.9928258087,114959.02595335119,863402.0613511739,125047.56497828927,28920.814010794464,171424.43784838982,6470.818000487556,41985.723894225106,38477.92348916937,98575.292907722,88601.40702787126,413995.93776463007,233638.35050687994,42160.2513516799
MED-623,3495662.5170640554,1636116.314957736,1597492.4395785057,475421.3220444377,36582.95942795127,482078.03764186223,36949.47546158545,148834.7070955462,913927.4228606657,6613.091226529812,70170.48934130152,11789.894715783812,90517.68482460978,132436.5283627529,658335.058143871,826890.7563945752,147318.88941915272
MED-624,2426930.786450229,4990.298475150875,5044.24599211499,4222.534339679437,381.411111091519,4037.2910914348236,547.466418660915,913279.2750293802,5032940.2066232,84154.44892811168,337734.4128772693,161164.45467503008,102524.6339200654,7674.192127455768,34105.107379865745,40655.1190101015,7084.100796048108
MED-626,356106.29979396623,5032779.400506332,4965408.049229771,1436246.9337776906,184777.18419665264,1322755.5432356715,193136.86765959425,23594.306383286534,136489.40519804743,584.4086265117585,1284.1750159054259,1255.506637700896,539.4562049520794,203003.68077557953,927610.0998876776,728453.7313211377,140599.092105072
MED-629,506710.4584725329,10398.272299492872,9882.627294007021,6352.281283226493,1520.2739626023504,4885.852987550521,2168.738712454723,8215.401604357221,56465.38783432219,118.8308436746791,1194.917056341008,150.46520261659927,93.25509372453129,13887.678256160338,57294.74766800595,19451.294226142913,2221.946549447738
MED-630,7378170.708555012,44906820.511259,44039662.80644425,20872718.192711722,1641173.4077239817,21280830.728286672,1665709.2877909255,33139032.2518207,203680155.87614694,28450.89506534995,44488.544485471175,4620.606816021504,13885.552318545273,14303013.90048308,71071124.81394483,656222801.7642164,114402093.49811892
MED-632,652313.2616568127,2508683.5198633503,2508405.5971313147,395148.779073931,54759.78239580547,374469.71280109,52561.741557119945,2021593.1517892699,11491010.713735849,146372.28752225614,1739464.753980712,71723.64404231445,779070.4356317488,114204.1081069835,568479.298952932,21093536.35499188,3846368.7456711424
MED-633,2198072.051847182,292511.4696862016,294615.8770930119,124324.31958247286,16889.80033933317,115167.1180736527,16877.29691262234,956061.7899328277,5238983.016709246,1230993.4488776028,15649305.896651154,2761175.804123273,65573.54691059413,53455.0022484937,245702.50516922257,2643754.0260239067,484053.89671050763
MED-635,658650.1191827845,473930.3151176852,458272.09554577456,16509.609619510855,1004.8387385806036,12296.298139627917,1603.726389318707,754240.2731216508,4490477.843115896,300761.018766072,53738.9776834242,19618.67130624989,81138.23451780123,424289.5977928322,2049654.8975785484,231204.2929443617,41868.378548510635
MED-636,286419.5940782119,172803.52912799272,162851.4079359156,450607.3482802433,30989.098113751454,466209.3989876134,28775.903542015043,2100425.393397601,12821672.531117363,304.29465955854846,543.8809619636614,71.22520845988763,650.5853459164906,455379.19831172883,2331201.2334225317,1842895.7329119423,314689.51291762426
MED-637,2280763.404119215,2388074.2897178717,2369705.757699151,1105722.1523214704,149077.7576375991,976015.842465915,148010.10119020205,979066.0174706567,5227413.140346764,35053.067852215725,58352.84015491148,47258.37223876984,216820.86025772203,2738637.1252494045,12570476.24597273,5584547.632248556,1023082.9113500292
MED-641,109126.22303767214,317000.88756776653,305388.643148595,1229714.974118183,102545.2669425558,1245681.8769950743,97035.97199520927,534775.453135792,3415093.2834490207,255.0856039152296,67.20052596975673,0.0,135.71431226595092,62026.473188457654,315846.4538409146,9600393.772993924,1686925.2044525086
MED-643,153368.98562145865,5420715.93520874,5377814.433661876,267638.8277367327,31117.623147714236,253163.48674704027,30822.38457978352,1469102.7404042666,8551054.788222676,176320.3915050797,1163173.6365650054,116408.28058377902,1879061.041835685,160113.6780389609,770499.4636250491,11949525.470646713,2159618.042289862
