bin,sample_id,depth,MAG_pnps_median,total_count,scg_pnps_median,scg_count,defense_pnps_median,defense_count,transposase_pnps_median,transposase_count,Trans_abun
ARS-1036,ERR599062,MES,0.04500042675489358,137.0,0.0536248685664986,5.0,0.05429669479447823,1.0,,,0.00012769392892054686
ARS-1037,ERR594312,MES,0.12507063337561541,2118.0,0.07221242773078664,67.0,0.12336862580806796,55.0,0.09539982075850416,9.0,0.0140812244157894
ARS-1037,ERR594346,MES,0.08163176677454004,705.0,0.047719940291965635,23.0,0.07682828760088377,17.0,0.08451865852179063,8.0,0.011284046065799629
ARS-11,ERR594312,MES,0.6804750911738663,385.0,0.04053119913882118,18.0,0.8313459738336684,12.0,1.0844814974785313,1.0,0.0018889947807567066
ARS-11,ERR594346,MES,0.038761902188689024,20.0,0.038428888703622884,13.0,,,,,0.002743969691036627
ARS-1134,ERR599028,DCM,0.053615766774035435,783.0,0.04300840791682907,18.0,0.04304361626332615,11.0,,,0.0
ARS-1134,ERR599082,DCM,0.06235173410206725,1105.0,0.03562165411894938,33.0,0.051050381819495255,14.0,,,0.0
ARS-1134,ERR599102,SRF,0.05952980708364611,1026.0,0.02390762573316319,30.0,0.050332132923913364,15.0,,,0.0
ARS-1134,ERR599145,DCM,0.05034002986205607,873.0,0.0016280883005194836,24.0,0.03248560579474962,12.0,,,0.0
ARS-115,ERR594290,MES,0.03948886900386733,19.0,0.0836993627305949,5.0,,,,,0.002283412858040407
ARS-115,ERR594312,MES,0.037243011583443765,21.0,0.06826651597698713,5.0,,,,,0.003321596777331452
ARS-115,ERR594345,MES,0.05589004498602247,32.0,0.07994139776371778,8.0,,,,,0.0015560564140253811
ARS-1215,ERR594345,MES,0.3267324646776872,1033.0,0.3600019067897581,29.0,0.21334736316634745,17.0,,,0.0
ARS-1215,ERR599031,MES,0.2335060175940185,1121.0,0.2560118399286548,32.0,0.24785002283047003,17.0,,,0.0
ARS-1215,ERR599037,MES,0.2710182274367,925.0,0.1693104810134786,19.0,0.17726591337478087,16.0,,,0.0
ARS-1215,ERR599062,MES,0.2299710348087939,1159.0,0.17271026914538573,35.0,0.2453038368451522,19.0,,,0.0
ARS-1215,ERR599109,MES,0.24936083729620862,1038.0,0.18713945723941708,25.0,0.18236195146714068,18.0,,,0.0
ARS-1215,ERR599167,MES,0.28551502000645995,1148.0,0.1995151305048972,31.0,0.24568380755994262,20.0,,,0.0
ARS-1215,ERR599172,MES,0.2585755136253328,833.0,0.2780226516609414,19.0,0.2329772775866975,14.0,,,0.0
ARS-123,ERR599145,DCM,0.0710406826130286,374.0,0.0,5.0,0.21827590788791837,8.0,,,0.0
ARS-1426,ERR594345,MES,0.3644108969527341,613.0,0.6558931463521087,14.0,0.42088323735101363,16.0,,,0.0
ARS-1426,ERR599031,MES,0.21114828566335508,792.0,0.21868462281798604,12.0,0.3333756883311846,17.0,,,0.0
ARS-1426,ERR599037,MES,0.2363020377774131,1010.0,0.24241839969223086,18.0,0.25786409262066995,23.0,,,0.0
ARS-1426,ERR599062,MES,0.22574070682932695,1068.0,0.24287854249570115,19.0,0.2682448788368278,23.0,,,0.0
ARS-1426,ERR599109,MES,0.22535961707519192,902.0,0.2527663228928321,20.0,0.3364946660049931,19.0,,,0.0
ARS-1426,ERR599167,MES,0.26389617610021443,1092.0,0.24548154190535607,18.0,0.35726057477379314,23.0,,,0.0
ARS-1426,ERR599172,MES,0.21793708342387186,959.0,0.1530277911117491,21.0,0.2286895356113447,21.0,,,0.0
ARS-16,ERR599037,MES,0.1710761411562145,600.0,0.12302052037513506,9.0,0.2319802378455893,8.0,0.37864137694914674,2.0,0.0035384582944280726
ARS-16,ERR599167,MES,0.16763460754122195,421.0,0.13564217618613827,5.0,0.2146916174293913,6.0,0.32150444353740437,2.0,0.003343258157995677
ARS-17,ERR599037,MES,0.21973411087659825,1081.0,0.10733509268264868,7.0,0.19621728544281347,43.0,0.16637219876803616,2.0,0.0019940125597242967
ARS-24,ERR594290,MES,0.0704275142222641,82.0,0.04993421052631588,5.0,0.045821883681769524,4.0,,,0.0005900293833254571
ARS-24,ERR594312,MES,0.05341115257836447,115.0,0.030754715558636243,16.0,0.006254324106341852,3.0,,,5.6935516947411326e-05
ARS-24,ERR594345,MES,0.1033355011666508,1977.0,0.061765604565865564,52.0,0.10119938208776703,51.0,,,0.0005914103044116513
ARS-24,ERR599037,MES,0.02812540820193244,192.0,0.05748470879216129,6.0,0.0,5.0,,,0.0007331605457365736
ARS-24,ERR599062,MES,0.06129298408393696,1925.0,0.023820469912756825,48.0,0.061151898423035186,50.0,0.13025644014748974,1.0,0.0008711199701354799
